,no,name,x_coor,y_coor,addr
5359,14251,망원시장.망원동월드컵시장입구,126.9088469,37.5575352,서울 마포구 성산동 649-1
5360,14252,마포구청역입구,126.9062802,37.56037614,서울 마포구 성산동 260-16
5361,14253,마포구청역입구,126.9058446,37.56066359,서울 마포구 망원동 477-23
5362,14254,성서초등학교,126.9115322,37.55870178,서울 마포구 성산동 245-21
5363,14255,성서초등학교,126.9111668,37.55853277,서울 마포구 성산동 19-4
5364,14256,새서울의원,126.9072645,37.55111278,서울 마포구 합정동 436-31
5365,14257,미원아파트입구,126.9032502,37.5591385,서울 마포구 망원동 425-4
5366,14258,미원아파트입구,126.9033699,37.55918616,서울 마포구 망원동 475-35
5367,14259,망원2동주민센터,126.9030616,37.56005339,서울 마포구 망원동 473-11
5368,14260,망원2동주민센터,126.9029038,37.56011548,서울 마포구 망원동 435-1
5369,14261,청기와빌라,126.9040781,37.5606463,서울 마포구 망원동 473-5
5370,14262,청기와빌라,126.9047095,37.56081668,서울 마포구 망원동 477-6
5371,14263,망원정입구,126.9069736,37.55263292,서울 마포구 망원동 394-33
5372,14264,성산초등학교,126.9100787,37.55363374,서울 마포구 합정동 428-38
5373,14265,서서울농협,126.9061906,37.55330656,서울 마포구 망원동 394-38
5374,14266,서서울농협,126.9060268,37.55342061,서울 마포구 망원동 394-28
5375,14267,망원1동주민센터,126.9049186,37.55562886,서울 마포구 망원동 403-9
5376,14268,망원1동주민센터,126.9050628,37.55543175,서울 마포구 망원동 403-7
5377,14269,동교초등학교,126.904231,37.55792973,서울 마포구 망원동 424-18
5378,14270,동교초등학교,126.9041054,37.55789925,서울 마포구 망원동 427-20
5379,14271,월드컵파크7단지,126.8783245,37.58126463,서울 마포구 상암동 1694-5
5380,14272,월드컵파크7단지,126.879263,37.58185541,서울 마포구 상암동 1694-5
5381,14273,월드컵경기장북측,126.8995283,37.57293957,서울 마포구 성산동 산 53-32
5382,14274,월드컵경기장북측,126.898155,37.57385683,서울 마포구 상암동 24-20
5383,14275,경성중고.홍대부속여중고입구,126.9156057,37.55978115,서울 마포구 성산동 231-13
5384,14283,삼진제약,126.9270819,37.55338312,서울 마포구 서교동 349
5385,14284,홍대입구역사거리,126.9220069,37.55479007,서울 마포구 동교동 155-6
5386,14286,상암DMC홍보관.YTN,126.8912629,37.57789158,서울 마포구 상암동 1715
5387,14287,상암DMC홍보관.YTN,126.8914688,37.57765399,서울 마포구 상암동 1715
5388,14288,월드컵파크5단지.상암중고등학교입구,126.8860352,37.58089116,서울 마포구 상암동 1715
5389,14289,월드컵파크5단지,126.8866216,37.58044677,서울 마포구 상암동 1715
5390,14290,상암DMC입구,126.8824811,37.58354573,서울 마포구 상암동 1694-4
5391,14291,상암고등학교,126.8841642,37.58189711,서울 마포구 상암동 1715
5392,14292,월드컵파크3단지후문,126.8897197,37.57118512,서울 마포구 상암동 1731
5393,14293,마포아트센터,126.9438865,37.54994857,서울 마포구 대흥동 38-3
5394,14295,월드컵파크4단지후문.JTBC,126.8899198,37.57747775,서울 마포구 상암동 1725
5395,14296,디지털미디어시티역2번출구,126.8997172,37.57519431,서울 마포구 상암동 1624
5396,14306,월드컵파크4단지후문.JTBC,126.8900074,37.57782283,서울 마포구 상암동 1725
5397,14307,누리꿈스퀘어.MBC,126.8895595,37.57887743,서울 마포구 상암동 1715
5398,14308,월드메르디앙아파트,126.9234328,37.54509499,서울 마포구 상수동 351-7
5399,14309,월드메르디앙아파트,126.9242878,37.54495774,서울 마포구 상수동 352-9
5400,14310,한강밤섬자이아파트,126.9277922,37.54570645,서울 마포구 하중동 24-1
5401,14311,한강밤섬자이아파트,126.9277337,37.54565063,서울 마포구 하중동 24-1
5402,14312,서강해모로아파트,126.9294971,37.54568767,서울 마포구 창전동 443-6
5403,14313,서강해모로아파트,126.9296194,37.54560173,서울 마포구 신정동 1-2
5404,14314,서교동주민센터.마포신문사,126.9163398,37.55494126,서울 마포구 서교동 464-31
5405,14315,동교로사거리,126.9198079,37.55568772,서울 마포구 서교동 418
5406,14316,월드컵경기장북측,126.8982584,37.57368787,서울 마포구 상암동 24-59
5407,14317,강변한신코아,126.9437827,37.53741451,서울 마포구 마포동 102-1
5408,14330,난지한강공원,126.8784286,37.5676465,서울 마포구 상암동 482-116
